N,x_max,weight_core,weight_osc,form,alpha,normalization,error
64,8.0,1.0,0.0,quadratic,0.5,none,26.91310412912847
64,8.0,1.0,0.0,quadratic,0.5,by_max_eig,30.654828853991596
64,8.0,1.0,0.0,quadratic,0.5,by_trace,30.66946963567941
64,8.0,1.0,0.0,quadratic,0.5,scale_first_to_zero1,250.68571911025623
64,8.0,1.0,0.0,quadratic,1.3333333333333335,none,26.774769447692016
64,8.0,1.0,0.0,quadratic,1.3333333333333335,by_max_eig,30.65427992982984
64,8.0,1.0,0.0,quadratic,1.3333333333333335,by_trace,30.669452870160125
64,8.0,1.0,0.0,quadratic,1.3333333333333335,scale_first_to_zero1,190.36830889942263
64,8.0,1.0,0.0,quadratic,2.166666666666667,none,26.639214059150554
64,8.0,1.0,0.0,quadratic,2.166666666666667,by_max_eig,30.653746745537823
64,8.0,1.0,0.0,quadratic,2.166666666666667,by_trace,30.669436494188616
64,8.0,1.0,0.0,quadratic,2.166666666666667,scale_first_to_zero1,159.07031466387002
64,8.0,1.0,0.0,quadratic,3.0,none,26.506488802626077
64,8.0,1.0,0.0,quadratic,3.0,by_max_eig,30.6532304896063
64,8.0,1.0,0.0,quadratic,3.0,by_trace,30.669420512683246
64,8.0,1.0,0.0,quadratic,3.0,scale_first_to_zero1,139.44786839393856
64,8.0,1.0,0.0,exponential,0.5,none,26.941207511582743
64,8.0,1.0,0.0,exponential,0.5,by_max_eig,30.654940432771244
64,8.0,1.0,0.0,exponential,0.5,by_trace,30.669473060939726
64,8.0,1.0,0.0,exponential,0.5,scale_first_to_zero1,283.2725926387797
64,8.0,1.0,0.0,exponential,1.3333333333333335,none,26.849056789109444
64,8.0,1.0,0.0,exponential,1.3333333333333335,by_max_eig,30.654573718481043
64,8.0,1.0,0.0,exponential,1.3333333333333335,by_trace,30.669461904168553
64,8.0,1.0,0.0,exponential,1.3333333333333335,scale_first_to_zero1,242.4228928133319
64,8.0,1.0,0.0,exponential,2.166666666666667,none,26.758834350350647
64,8.0,1.0,0.0,exponential,2.166666666666667,by_max_eig,30.65421715660212
64,8.0,1.0,0.0,exponential,2.166666666666667,by_trace,30.669451008533755
64,8.0,1.0,0.0,exponential,2.166666666666667,scale_first_to_zero1,219.14649459357233
64,8.0,1.0,0.0,exponential,3.0,none,26.670552986329874
64,8.0,1.0,0.0,exponential,3.0,by_max_eig,30.653871639890728
64,8.0,1.0,0.0,exponential,3.0,by_trace,30.669440374958096
64,8.0,1.0,0.0,exponential,3.0,scale_first_to_zero1,204.07989218337337
64,8.0,1.0,0.0,inverse,0.5,none,26.86471928564404
64,8.0,1.0,0.0,inverse,0.5,by_max_eig,30.654638099284163
64,8.0,1.0,0.0,inverse,0.5,by_trace,30.669463739205597
64,8.0,1.0,0.0,inverse,0.5,scale_first_to_zero1,181.61686948641466
64,8.0,1.0,0.0,inverse,1.3333333333333335,none,26.644694844085883
64,8.0,1.0,0.0,inverse,1.3333333333333335,by_max_eig,30.653767103351086
64,8.0,1.0,0.0,inverse,1.3333333333333335,by_trace,30.66943706084674
64,8.0,1.0,0.0,inverse,1.3333333333333335,scale_first_to_zero1,104.34882775215749
64,8.0,1.0,0.0,inverse,2.166666666666667,none,26.42610011234591
64,8.0,1.0,0.0,inverse,2.166666666666667,by_max_eig,30.652905451285125
64,8.0,1.0,0.0,inverse,2.166666666666667,by_trace,30.66941066029644
64,8.0,1.0,0.0,inverse,2.166666666666667,scale_first_to_zero1,73.01128725551231
64,8.0,1.0,0.0,inverse,3.0,none,26.208941041114656
64,8.0,1.0,0.0,inverse,3.0,by_max_eig,30.652053548457644
64,8.0,1.0,0.0,inverse,3.0,by_trace,30.66938453675373
64,8.0,1.0,0.0,inverse,3.0,scale_first_to_zero1,55.91133468946664
64,8.0,1.0,0.0,log,0.5,none,26.787096578579124
